detectorType,descriptorType,imageIndex,TTC Lidar,TTC Camera
FAST,BRIEF,1,12.5156,11.9246
FAST,BRIEF,2,12.6142,12.6526
FAST,BRIEF,3,14.091,21.2882
FAST,BRIEF,4,16.6894,15.3184
FAST,BRIEF,5,15.7465,35.5652
FAST,BRIEF,6,12.7835,13.1432
FAST,BRIEF,7,11.9844,13.4101
FAST,BRIEF,8,13.1241,14.4169
FAST,BRIEF,9,13.0241,12.9845
FAST,BRIEF,10,11.1746,14.1189
FAST,BRIEF,11,12.8086,13.2623
FAST,BRIEF,12,8.95978,10.6119
FAST,BRIEF,13,9.96439,12.3705
FAST,BRIEF,14,9.59863,11.9267
FAST,BRIEF,15,8.52157,12.4088
FAST,BRIEF,16,9.51552,12.466
FAST,BRIEF,17,9.61241,9.85034
FAST,BRIEF,18,8.3988,12.1113
FAST,ORB,1,12.5156,11.6549
FAST,ORB,2,12.6142,11.4902
FAST,ORB,3,14.091,12.7751
FAST,ORB,4,16.6894,14.5426
FAST,ORB,5,15.7465,60.8696
FAST,ORB,6,12.7835,13.5023
FAST,ORB,7,11.9844,12.4346
FAST,ORB,8,13.1241,13.7045
FAST,ORB,9,13.0241,12.7064
FAST,ORB,10,11.1746,13.8902
FAST,ORB,11,12.8086,14.244
FAST,ORB,12,8.95978,11.4087
FAST,ORB,13,9.96439,12.9831
FAST,ORB,14,9.59863,11.1104
FAST,ORB,15,8.52157,12.3176
FAST,ORB,16,9.51552,11.9889
FAST,ORB,17,9.61241,9.4363
FAST,ORB,18,8.3988,11.1869
FAST,FREAK,1,12.5156,-inf
FAST,FREAK,2,12.6142,-60.2088
FAST,FREAK,3,14.091,-inf
FAST,FREAK,4,16.6894,-inf
FAST,FREAK,5,15.7465,-inf
FAST,FREAK,6,12.7835,-11.1575
FAST,FREAK,7,11.9844,-inf
FAST,FREAK,8,13.1241,17.8379
FAST,FREAK,9,13.0241,24.2873
FAST,FREAK,10,11.1746,254.828
FAST,FREAK,11,12.8086,55.9142
FAST,FREAK,12,8.95978,34.0044
FAST,FREAK,13,9.96439,21.8336
FAST,FREAK,14,9.59863,441.21
FAST,FREAK,15,8.52157,14.0334
FAST,FREAK,16,9.51552,14.1916
FAST,FREAK,17,9.61241,12.4179
FAST,FREAK,18,8.3988,14.2898
FAST,SIFT,1,12.5156,11.0069
FAST,SIFT,2,12.6142,10.8463
FAST,SIFT,3,14.091,14.8664
FAST,SIFT,4,16.6894,14.9303
FAST,SIFT,5,15.7465,29.241
FAST,SIFT,6,12.7835,13.1149
FAST,SIFT,7,11.9844,14.1309
FAST,SIFT,8,13.1241,14.4169
FAST,SIFT,9,13.0241,13.8169
FAST,SIFT,10,11.1746,19.897
FAST,SIFT,11,12.8086,20.1129
FAST,SIFT,12,8.95978,12.3117
FAST,SIFT,13,9.96439,12.5732
FAST,SIFT,14,9.59863,11.5334
FAST,SIFT,15,8.52157,11.9654
FAST,SIFT,16,9.51552,11.3939
FAST,SIFT,17,9.61241,8.11259
FAST,SIFT,18,8.3988,13.2034
BRISK,BRISK,1,12.5156,28.9225
BRISK,BRISK,2,12.6142,61.9163
BRISK,BRISK,3,14.091,18.7043
BRISK,BRISK,4,16.6894,31.1267
BRISK,BRISK,5,15.7465,70.6119
BRISK,BRISK,6,12.7835,70.7064
BRISK,BRISK,7,11.9844,32.7785
BRISK,BRISK,8,13.1241,28.3591
BRISK,BRISK,9,13.0241,20.056
BRISK,BRISK,10,11.1746,61.2615
BRISK,BRISK,11,12.8086,25.5085
BRISK,BRISK,12,8.95978,30.6352
BRISK,BRISK,13,9.96439,14.3628
BRISK,BRISK,14,9.59863,20.9858
BRISK,BRISK,15,8.52157,18.2518
BRISK,BRISK,16,9.51552,15.123
BRISK,BRISK,17,9.61241,10.962
BRISK,BRISK,18,8.3988,15.0117
BRISK,BRIEF,1,12.5156,19.5255
BRISK,BRIEF,2,12.6142,26.3919
BRISK,BRIEF,3,14.091,13.086
BRISK,BRIEF,4,16.6894,25.5861
BRISK,BRIEF,5,15.7465,31.1908
BRISK,BRIEF,6,12.7835,26.8787
BRISK,BRIEF,7,11.9844,19.8354
BRISK,BRIEF,8,13.1241,21.7126
BRISK,BRIEF,9,13.0241,17.1026
BRISK,BRIEF,10,11.1746,15.1614
BRISK,BRIEF,11,12.8086,12.0335
BRISK,BRIEF,12,8.95978,14.6907
BRISK,BRIEF,13,9.96439,14.5774
BRISK,BRIEF,14,9.59863,10.6288
BRISK,BRIEF,15,8.52157,12.147
BRISK,BRIEF,16,9.51552,14.6718
BRISK,BRIEF,17,9.61241,11.2256
BRISK,BRIEF,18,8.3988,10.3103
BRISK,ORB,1,12.5156,23.0034
BRISK,ORB,2,12.6142,53.9101
BRISK,ORB,3,14.091,22.8954
BRISK,ORB,4,16.6894,88.2051
BRISK,ORB,5,15.7465,-147.81
BRISK,ORB,6,12.7835,73.6525
BRISK,ORB,7,11.9844,45.1493
BRISK,ORB,8,13.1241,34.8999
BRISK,ORB,9,13.0241,15.5809
BRISK,ORB,10,11.1746,37.4354
BRISK,ORB,11,12.8086,129.697
BRISK,ORB,12,8.95978,17.0142
BRISK,ORB,13,9.96439,20.4976
BRISK,ORB,14,9.59863,19.188
BRISK,ORB,15,8.52157,20.997
BRISK,ORB,16,9.51552,14.189
BRISK,ORB,17,9.61241,13.457
BRISK,ORB,18,8.3988,17.4583
BRISK,FREAK,1,12.5156,25.5757
BRISK,FREAK,2,12.6142,-380.944
BRISK,FREAK,3,14.091,25.1321
BRISK,FREAK,4,16.6894,22.7149
BRISK,FREAK,5,15.7465,52.7682
BRISK,FREAK,6,12.7835,16.3304
BRISK,FREAK,7,11.9844,25.3066
BRISK,FREAK,8,13.1241,28.8678
BRISK,FREAK,9,13.0241,20.63
BRISK,FREAK,10,11.1746,22.0802
BRISK,FREAK,11,12.8086,16.0114
BRISK,FREAK,12,8.95978,24.9562
BRISK,FREAK,13,9.96439,17.2955
BRISK,FREAK,14,9.59863,13.7256
BRISK,FREAK,15,8.52157,14.4003
BRISK,FREAK,16,9.51552,14.0273
BRISK,FREAK,17,9.61241,10.0495
BRISK,FREAK,18,8.3988,14.271
BRISK,SIFT,1,12.5156,21.1726
BRISK,SIFT,2,12.6142,17.5374
BRISK,SIFT,3,14.091,25.8055
BRISK,SIFT,4,16.6894,26.7053
BRISK,SIFT,5,15.7465,44.1128
BRISK,SIFT,6,12.7835,16.2984
BRISK,SIFT,7,11.9844,19.6355
BRISK,SIFT,8,13.1241,23.6277
BRISK,SIFT,9,13.0241,16.9792
BRISK,SIFT,10,11.1746,16.3712
BRISK,SIFT,11,12.8086,14.789
BRISK,SIFT,12,8.95978,15.7144
BRISK,SIFT,13,9.96439,16.2683
BRISK,SIFT,14,9.59863,12.5169
BRISK,SIFT,15,8.52157,15.6674
BRISK,SIFT,16,9.51552,11.8048
BRISK,SIFT,17,9.61241,12.7216
BRISK,SIFT,18,8.3988,16.9026
ORB,BRISK,1,12.5156,18.0656
ORB,BRISK,2,12.6142,15.1978
ORB,BRISK,3,14.091,26.6842
ORB,BRISK,4,16.6894,37.9243
ORB,BRISK,5,15.7465,-inf
ORB,BRISK,6,12.7835,20.0611
ORB,BRISK,7,11.9844,39.3442
ORB,BRISK,8,13.1241,11.2337
ORB,BRISK,9,13.0241,12.2284
ORB,BRISK,10,11.1746,15.0268
ORB,BRISK,11,12.8086,9.09836
ORB,BRISK,12,8.95978,5416.2
ORB,BRISK,13,9.96439,9.59835
ORB,BRISK,14,9.59863,6.95135
ORB,BRISK,15,8.52157,8.85869
ORB,BRISK,16,9.51552,10.4631
ORB,BRISK,17,9.61241,21.1348
ORB,BRISK,18,8.3988,18.6402
ORB,BRIEF,1,12.5156,19.8744
ORB,BRIEF,2,12.6142,20.5685
ORB,BRIEF,3,14.091,90.0082
ORB,BRIEF,4,16.6894,24.292
ORB,BRIEF,5,15.7465,799.31
ORB,BRIEF,6,12.7835,21.1103
ORB,BRIEF,7,11.9844,-inf
ORB,BRIEF,8,13.1241,70.5426
ORB,BRIEF,9,13.0241,13.2757
ORB,BRIEF,10,11.1746,10.8056
ORB,BRIEF,11,12.8086,12.5439
ORB,BRIEF,12,8.95978,19.2325
ORB,BRIEF,13,9.96439,10.7998
ORB,BRIEF,14,9.59863,9.3944
ORB,BRIEF,15,8.52157,10.0577
ORB,BRIEF,16,9.51552,13.5193
ORB,BRIEF,17,9.61241,17.2956
ORB,BRIEF,18,8.3988,13.2522
ORB,ORB,1,12.5156,172.248
ORB,ORB,2,12.6142,22.5791
ORB,ORB,3,14.091,26.3748
ORB,ORB,4,16.6894,35.326
ORB,ORB,5,15.7465,39.391
ORB,ORB,6,12.7835,19.1992
ORB,ORB,7,11.9844,17.5657
ORB,ORB,8,13.1241,10.6963
ORB,ORB,9,13.0241,2.81675e+06
ORB,ORB,10,11.1746,20.1594
ORB,ORB,11,12.8086,8.94212
ORB,ORB,12,8.95978,-inf
ORB,ORB,13,9.96439,11.6895
ORB,ORB,14,9.59863,27.0269
ORB,ORB,15,8.52157,36.2052
ORB,ORB,16,9.51552,9.77854
ORB,ORB,17,9.61241,33.0007
ORB,ORB,18,8.3988,20.2115
ORB,FREAK,1,12.5156,10.99
ORB,FREAK,2,12.6142,38.7274
ORB,FREAK,3,14.091,37.3294
ORB,FREAK,4,16.6894,10.7264
ORB,FREAK,5,15.7465,-inf
ORB,FREAK,6,12.7835,54.0855
ORB,FREAK,7,11.9844,23.2065
ORB,FREAK,8,13.1241,8.93618
ORB,FREAK,9,13.0241,15.0839
ORB,FREAK,10,11.1746,-inf
ORB,FREAK,11,12.8086,5.1406
ORB,FREAK,12,8.95978,47.5656
ORB,FREAK,13,9.96439,7.03048
ORB,FREAK,14,9.59863,55.7876
ORB,FREAK,15,8.52157,8.75684
ORB,FREAK,16,9.51552,12.3956
ORB,FREAK,17,9.61241,186.726
ORB,FREAK,18,8.3988,44.5772
ORB,SIFT,1,12.5156,-13.9696
ORB,SIFT,2,12.6142,11.1048
ORB,SIFT,3,14.091,25.9263
ORB,SIFT,4,16.6894,86.0676
ORB,SIFT,5,15.7465,-2.36928
ORB,SIFT,6,12.7835,-inf
ORB,SIFT,7,11.9844,26.8287
ORB,SIFT,8,13.1241,10.0584
ORB,SIFT,9,13.0241,12.8918
ORB,SIFT,10,11.1746,12.7391
ORB,SIFT,11,12.8086,10.1214
ORB,SIFT,12,8.95978,-inf
ORB,SIFT,13,9.96439,-inf
ORB,SIFT,14,9.59863,75.625
ORB,SIFT,15,8.52157,16.5521
ORB,SIFT,16,9.51552,15.662
ORB,SIFT,17,9.61241,21.1995
ORB,SIFT,18,8.3988,10.5153
AKAZE,BRISK,1,12.5156,13.3856
AKAZE,BRISK,2,12.6142,16.1377
AKAZE,BRISK,3,14.091,16.0769
AKAZE,BRISK,4,16.6894,16.0746
AKAZE,BRISK,5,15.7465,16.4394
AKAZE,BRISK,6,12.7835,16.827
AKAZE,BRISK,7,11.9844,20.3049
AKAZE,BRISK,8,13.1241,17.6194
AKAZE,BRISK,9,13.0241,16.1763
AKAZE,BRISK,10,11.1746,13.2458
AKAZE,BRISK,11,12.8086,17.2264
AKAZE,BRISK,12,8.95978,17.6104
AKAZE,BRISK,13,9.96439,13.5506
AKAZE,BRISK,14,9.59863,12.655
AKAZE,BRISK,15,8.52157,15.2263
AKAZE,BRISK,16,9.51552,11.1952
AKAZE,BRISK,17,9.61241,10.8084
AKAZE,BRISK,18,8.3988,9.70205
AKAZE,BRIEF,1,12.5156,14.5256
AKAZE,BRIEF,2,12.6142,22.6435
AKAZE,BRIEF,3,14.091,13.3744
